open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,ticker
52.07,53.799999,51.849998,53.799999,53.799999,64948300.0,64948300.0,1.73,3.322,53.15,"May 29, 20",0.03322,AMD
53.310001,54.110001,52.889999,53.630001,53.630001,36864400.0,36864400.0,0.32,0.6,53.54333,"June 01, 20",0.006,AMD
53.450001,53.57,52.009998,53.540001,53.540001,42855200.0,42855200.0,0.09,0.168,53.04,"June 02, 20",0.00168,AMD
53.599998,53.650002,52.330002,52.73,52.73,46765300.0,46765300.0,-0.87,-1.623,52.90333,"June 03, 20",-0.01623,AMD
52.59,53.740002,52.200001,52.630001,52.630001,44869100.0,44869100.0,0.04,0.076,52.85667,"June 04, 20",0.00076,AMD
52.990002,53.57,52.080002,53.099998,53.099998,53908300.0,53908300.0,0.11,0.208,52.91667,"June 05, 20",0.00208,AMD
53.299999,53.349998,52.259998,52.970001,52.970001,39681700.0,39681700.0,-0.33,-0.619,52.86,"June 08, 20",-0.00619,AMD
52.950001,56.459999,52.720001,56.389999,56.389999,79919100.0,79919100.0,3.44,6.497,55.19,"June 09, 20",0.06497,AMD
57.200001,59.0,57.029999,57.439999,57.439999,78719400.0,78719400.0,0.24,0.42,57.82333,"June 10, 20",0.0042,AMD
55.939999,56.68,52.799999,52.830002,52.830002,78715400.0,78715400.0,-3.11,-5.56,54.10333,"June 11, 20",-0.0556,AMD
55.009998,55.599998,52.110001,53.5,53.5,71096500.0,71096500.0,-1.51,-2.745,53.73667,"June 12, 20",-0.02745,AMD
52.580002,54.73,52.41,54.68,54.68,56740700.0,56740700.0,2.1,3.994,53.94,"June 15, 20",0.03994,AMD
55.720001,56.07,53.59,54.459999,54.459999,50949700.0,50949700.0,-1.26,-2.261,54.70667,"June 16, 20",-0.02261,AMD
54.790001,55.82,54.299999,54.549999,54.549999,45008100.0,45008100.0,-0.24,-0.438,54.89,"June 17, 20",-0.00438,AMD
54.619999,55.119999,53.650002,54.040001,54.040001,40354700.0,40354700.0,-0.58,-1.062,54.27,"June 18, 20",-0.01062,AMD
54.41,55.459999,53.82,54.23,54.23,52801500.0,52801500.0,-0.18,-0.331,54.50333,"June 19, 20",-0.00331,AMD
54.669998,55.169998,53.740002,54.759998,54.759998,44704800.0,44704800.0,0.09,0.165,54.55667,"June 22, 20",0.00165,AMD
55.049999,55.369999,53.869999,53.990002,53.990002,48089000.0,48089000.0,-1.06,-1.926,54.41,"June 23, 20",-0.01926,AMD
