date,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,ticker
2011-09-30,1807.00000,908.00000,540.00000,157.00000,,3412.00000,697.00000,536.00000,334.00000,257.00000,1824.00000,5236.00000,1855.00000,1571.00000,66.00000,1637.00000,3492.00000,7.00000,-4800.00000,-8.00000,,1744.00000,5236.00000,AMD
2011-06-30,1861.00000,759.00000,642.00000,176.00000,,3438.00000,686.00000,486.00000,342.00000,272.00000,1786.00000,5224.00000,1312.00000,2195.00000,76.00000,2271.00000,3583.00000,7.00000,-4897.00000,0.00000,,1641.00000,5224.00000,AMD
2011-03-31,1745.00000,797.00000,648.00000,221.00000,,3411.00000,676.00000,486.00000,351.00000,285.00000,1798.00000,5209.00000,1375.00000,2192.00000,84.00000,2276.00000,3651.00000,7.00000,-4958.00000,2.00000,,1558.00000,5209.00000,AMD
2010-12-31,1789.00000,968.00000,632.00000,205.00000,,3594.00000,700.00000,,323.00000,347.00000,1370.00000,4964.00000,1674.00000,2188.00000,89.00000,2277.00000,3951.00000,7.00000,-5468.00000,1.00000,,1013.00000,4964.00000,AMD
2010-09-30,1726.00000,765.00000,622.00000,99.00000,,3212.00000,723.00000,,371.00000,289.00000,1383.00000,4595.00000,1665.00000,2185.00000,131.00000,2316.00000,3981.00000,7.00000,-5843.00000,12.00000,,614.00000,4595.00000,AMD
2010-06-30,1896.00000,725.00000,581.00000,111.00000,,3313.00000,755.00000,148.00000,387.00000,352.00000,1642.00000,4955.00000,1630.00000,2418.00000,154.00000,2573.00000,4203.00000,7.00000,-5725.00000,7.00000,,752.00000,4955.00000,AMD
2010-03-31,1932.00000,675.00000,577.00000,147.00000,,3331.00000,789.00000,270.00000,404.00000,438.00000,1901.00000,5232.00000,1645.00000,2601.00000,189.00000,2791.00000,4436.00000,7.00000,-5682.00000,22.00000,,796.00000,5232.00000,AMD
2009-12-31,2676.00000,745.00000,567.00000,287.00000,,4275.00000,3809.00000,,421.00000,573.00000,4803.00000,9078.00000,2210.00000,4252.00000,892.00000,6220.00000,8430.00000,7.00000,-5939.00000,154.00000,,648.00000,9078.00000,AMD
2009-09-30,2511.00000,572.00000,515.00000,279.00000,,3918.00000,3895.00000,,439.00000,495.00000,4829.00000,8747.00000,2076.00000,5275.00000,645.00000,7240.00000,9316.00000,7.00000,-7125.00000,137.00000,,-569.00000,8747.00000,AMD
2009-06-30,2514.00000,366.00000,493.00000,302.00000,,3713.00000,4042.00000,,456.00000,472.00000,4970.00000,8683.00000,2022.00000,5243.00000,577.00000,7126.00000,9148.00000,7.00000,-6997.00000,127.00000,,-465.00000,8683.00000,AMD
